code,name
949015,Ареда (Заб)
796122,Аремзянка (рзд) (Сверд)
245605,Арзамас I (Горьк)
244208,Арзамас II (Горьк)
246504,Арзинка (Горьк)
537739,Арик (рзд) (С-Кав)
063512,Аристово (Окт)
605809,Аркадак (Ю-Вост)
906039,Аркум (рзд) (В-Сиб)
870706,Арлюк (З-Сиб)
530208,Армавир-Ростовский (С-Кав)
530301,Армавир-Туапсинский (С-Кав)
315704,Арменки (Сев)
256506,Армязь (Горьк)
869614,Армянск (Крым)
236803,Арсаки (Моск)
992602,Арсентьевка (ДВост)
976205,Арсеньев (ДВост)
213708,Арсеньево (Моск)
253508,Арск (Горьк)
207726,Артаково (Моск)
541908,Артезиан (С-Кав)
982403,Артем-Приморский I (ДВост)
982600,Артем-Приморский III (ДВост)
065734,Артемово (Окт)
950718,Артеушка (Заб)
862644,Артышта I (З-Сиб)
862701,Артышта II (З-Сиб)
290403,Архангельск (Сев)
290102,Архангельск (перев.) (Сев)
290507,Архангельск-Город (Сев)
290704,Архангельск-Город (перев.) (Сев)
960601,Архара (ДВост)
767219,Архиповка (рзд) (Сверд)
613805,Арчеда (Прив)
949528,Арчикой (Заб)
867703,Аршинцево (Крым)
266705,Арья (Горьк)
826031,Асаново (обп) (Ю-Ур)
793800,Асбест (Сверд)
634500,Асеевская (Кбш)
659601,Асекеево (Кбш)
178006,Аселье (Моск)
875108,Асино (З-Сиб)
887001,Аскиз (Крас)
177605,Астапковичи (Моск)
800309,Асфальтная (Ю-Ур)
517504,Атаман (С-Кав)
942506,Атамановка (Заб)
258319,Атер (Горьк)
782401,Атиг (Сверд)
608807,Аткарск (Прив)
247723,Атрат (рзд) (Горьк)
248139,Атыково (рзд) (Горьк)
778035,Атымья (Сверд)
246839,Атьма (Горьк)
247309,Атяшево (Горьк)
963309,Аур (ДВост)
259133,Афанасьевский (Горьк)
524230,Афапостик (рзд) (С-Кав)
524000,Афипская (С-Кав)
015608,Африканда (Окт)
646847,Ахметьево (пп) (Кбш)
865708,Ахпун (З-Сиб)
516304,Ахтари (С-Кав)
616201,Ахтуба (Прив)
523609,Ахтырская (С-Кав)
268128,Ацвеж (Горьк)
245546,Ачакс (Горьк)
543833,Ачи (С-Кав)
880002,Ачинск I (Крас)
883809,Ачинск II (Крас)
517810,Ачкасово (рзд) (С-Кав)
655901,Аша (Кбш)
057140,Ашево (Окт)
652725,Ашкадар (рзд) (Кбш)
617806,Ашулук (Прив)
814759,Аще-Бутак (Ю-Ур)
250764,Аэропорт (Горьк)
180701,Аэропорт (Моск)
237863,Аэропорт Шереметьево (Моск)
911215,Аям (рзд) (ДВост)
771407,Аять (Сверд)
046409,Бабаево (Окт)
593508,Бабарыкино (Ю-Вост)
042342,Бабино (Окт)
963116,Бабстово (ДВост)
215116,Бабурино (рзд) (Моск)
786807,Бабушкино (Сверд)
184609,Бабынино (Моск)
317201,Бавлены (Сев)
620809,Багаевка (Прив)
837500,Баган (З-Сиб)
867366,Багерово (Крым)
102204,Багратионовск (Клнг)
767026,Багул (рзд) (Сверд)
924501,Багульная (В-Сиб)
940701,Бада (Заб)
033201,Бадаевская (Окт)
890521,Бадаложный (Крас)
918534,Баджал (рзд) (ДВост)
257725,Бадряш (обп) (Горьк)
793503,Баженово (Сверд)
782223,Бажуково (рзд) (Сверд)
892103,Базаиха (Крас)
642307,Базарная (Кбш)
647549,Базаровка (рзд) (Кбш)
063191,Базево (рзд) (Кбш)
884516,Базыр (Крас)
597725,Байгора (Ю-Вост)
288627,Байдук (рзд) (Сев)
607683,Байка (Ю-Вост)
872608,Байкаим (З-Сиб)
933604,Байкал (В-Сиб)
933801,Байкальск (В-Сиб)
994415,Байково (ДВост)
920407,Байроновка (В-Сиб)
648645,Байрякино (рзд) (Кбш)
815906,Байтук (Ю-Ур)
605103,Байчурово (Ю-Вост)
806907,Бакал (Ю-Ур)
521503,Баканская (С-Кав)
903831,Баканы (рзд) (В-Сиб)
290305,Бакарица (Сев)
290808,Бакарица (перев.) (Сев)
057422,Бакач (Окт)
303105,Бакланка (Сев)
537711,Баксан (рзд) (С-Кав)
826718,Баксары (Ю-Ур)
183606,Балабаново (Моск)
924319,Балага (В-Сиб)
875409,Балагачево (З-Сиб)
890659,Балай (Крас)
313304,Балакирево (Сев)
625107,Балаково (Прив)
647229,Баландаево (рзд) (Кбш)
801903,Баландино (Ю-Ур)
925824,Баларихта (рзд) (В-Сиб)
261805,Балахна (Горьк)
244021,Балахониха (Горьк)
643105,Балашейка (Кбш)
230309,Балашиха (Моск)
605300,Балашов I (Ю-Вост)
606426,Балашов II (Ю-Вост)
605404,Балашов-Пассажирский (Ю-Вост)
904372,Балбухта (рзд) (В-Сиб)
212809,Балево (Моск)
275808,Балезино (Горьк)
760900,Балмошная (Сверд)
593917,Баловинки (Ю-Вост)
103404,Балтийск (Клнг)
103601,Балтийск (паром) (Клнг)
103207,Балтийский Лес (Клнг)
608027,Балтинка (Ю-Вост)
886507,Балыксу (Крас)
940307,Баляга (Заб)
987587,Бамбурово (ДВост)
951602,Бамовская (Заб)
988236,Баневурово (ДВост)
795416,Барабаново (пп) (Сверд)
833603,Барабинск (З-Сиб)
988402,Барановский (ДВост)
655456,Баранцево (рзд) (Кбш)
772503,Баранчинская (Сверд)
936301,Бараты (В-Сиб)
863100,Бардино (З-Сиб)
872006,Барзас (З-Сиб)
647318,Барково (рзд) (Кбш)
840109,Барнаул (З-Сиб)
840409,Барнаул (перев.) (З-Сиб)
827829,Барневка (Ю-Ур)
609801,Барнуковка (Прив)
065325,Барсово (рзд) (Окт)
104784,Барсуковка (Клнг)
063423,Бартенево (рзд) (Окт)
258427,Бартым (Горьк)
984517,Бархатная (ДВост)
192709,Барыбино (Моск)
642507,Барыш (Кбш)
187503,Барятинская (Моск)
873757,Басандайка (рзд.) (З-Сиб)
541658,Басинская (Прив)
174804,Баскаковка (Моск)
767609,Баская (Сверд)
247511,Басово (рзд) (Горьк)
767628,Бассег (рзд) (Сверд)
510007,Батайск (С-Кав)
069400,Баталино (Окт)
932601,Батарейная (В-Сиб)
058302,Батецкая (Окт)
841309,Батунная (З-Сиб)
175421,Батюшково (Моск)
761405,Бахаревка (Сверд)
058213,Бахарево (Окт)
792403,Бахметское (Сверд)
857203,Бахчисарай (Крым)
795740,Бачкунский (рзд) (Сверд)
632906,Башмаково (Кбш)
842161,Баюново (З-Сиб)
648147,Бегишево (Кбш)
056025,Беглово (Окт)
588124,Беженцы (бп) (С-Кав)
051708,Бежецк (Окт)
272000,Безбожник (Горьк)
642901,Безводовка (Кбш)
187541,Бездон (рзд) (Моск)
638501,Безенчук (Кбш)
240156,Безлесная (Горьк)
841008,Безменово (З-Сиб)
944401,Безречная (Заб)
791538,Безруково (обп) (Сверд)
657803,Безымянка (Кбш)
626006,Безымянная (Прив)
180010,Бекасово I (Моск)
180006,Бекасово-Сортировочное (Моск)
611602,Бекетовская (Прив)
313821,Беклемишево (Сев)
607503,Беково (Ю-Вост)
931609,Белая (В-Сиб)
587704,Белая Калитва (С-Кав)
434509,Белгород (Ю-Вост)
435501,Белгород-Сумской (Ю-Вост)
